epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.971,1.64962,1.32519,1.06506,0.48514,0.19821,0.18988,0.09204,1.6785,1.35016,1.04356,0.000333067,0.000333067,0.0670264
2,847.111,1.58236,1.0755,1.03987,0.56038,0.27313,0.27916,0.14175,1.4995,0.98559,1.00058,0.000663799,0.000663799,0.0340238
3,1266.99,1.55454,1.02806,1.02922,0.48361,0.28883,0.27074,0.13675,1.48626,0.97561,1.0027,0.000984186,0.000984186,0.00101085
4,1688.27,1.53445,1.00056,1.02218,0.5364,0.31114,0.30661,0.15771,1.47155,0.92877,0.9987,0.000965239,0.000965239,0.000965239
5,2116.25,1.51902,0.97127,1.01543,0.54668,0.31923,0.32314,0.16788,1.44624,0.89475,0.98577,0.000938772,0.000938772,0.000938772
6,2550.78,1.49695,0.9463,1.00755,0.56521,0.3405,0.34277,0.17794,1.42672,0.88247,0.97926,0.000905463,0.000905463,0.000905463
7,2987.5,1.4857,0.93616,1.00383,0.58824,0.34286,0.35539,0.18902,1.40956,0.84956,0.97386,0.000865839,0.000865839,0.000865839
8,3398.69,1.47615,0.91991,0.99788,0.61,0.34751,0.36536,0.19265,1.40183,0.84221,0.97176,0.000820525,0.000820525,0.000820525
9,3837.4,1.46703,0.90684,0.99392,0.59738,0.35755,0.37359,0.19818,1.39223,0.82713,0.96554,0.000770234,0.000770234,0.000770234
10,4259.71,1.45848,0.8991,0.99024,0.61054,0.36488,0.38305,0.20402,1.38686,0.81452,0.9634,0.000715761,0.000715761,0.000715761
11,4677.42,1.45617,0.8917,0.99065,0.63098,0.36563,0.38964,0.20784,1.3802,0.80964,0.95952,0.000657963,0.000657963,0.000657963
12,5092.23,1.44511,0.88167,0.98646,0.60474,0.37389,0.38831,0.20878,1.37441,0.80285,0.95768,0.000597754,0.000597754,0.000597754
13,5521.98,1.43674,0.86981,0.98293,0.61814,0.38071,0.39999,0.21396,1.37093,0.79477,0.95587,0.000536081,0.000536081,0.000536081
14,5956.29,1.42493,0.86068,0.97913,0.61325,0.38185,0.4022,0.21568,1.36641,0.78962,0.95263,0.000473919,0.000473919,0.000473919
15,6364.67,1.42435,0.85549,0.97891,0.62769,0.3787,0.40456,0.21838,1.36283,0.78546,0.95166,0.000412246,0.000412246,0.000412246
16,6763.65,1.42898,0.83721,0.97882,0.6382,0.37605,0.40462,0.2183,1.36595,0.78686,0.95244,0.000352037,0.000352037,0.000352037
17,7163.28,1.42072,0.82845,0.97586,0.64023,0.38075,0.4084,0.22023,1.36438,0.78398,0.9512,0.000294239,0.000294239,0.000294239
18,7554.24,1.41765,0.82048,0.974,0.6396,0.38148,0.41028,0.22127,1.36229,0.78103,0.94938,0.000239766,0.000239766,0.000239766
19,7975.19,1.41343,0.81349,0.97228,0.6432,0.38333,0.41182,0.22241,1.36064,0.77879,0.94873,0.000189475,0.000189475,0.000189475
20,8385.58,1.40702,0.80628,0.97171,0.64239,0.38415,0.41256,0.22302,1.36012,0.7773,0.94815,0.000144161,0.000144161,0.000144161
21,8778.94,1.40103,0.79931,0.96732,0.6465,0.38291,0.41435,0.22365,1.3592,0.77635,0.94791,0.000104537,0.000104537,0.000104537
22,9183.1,1.3973,0.79624,0.9671,0.64553,0.38491,0.4152,0.22427,1.35819,0.77567,0.94777,7.12282e-05,7.12282e-05,7.12282e-05
23,9610.7,1.39556,0.79604,0.96738,0.64786,0.38391,0.41626,0.22471,1.35779,0.77526,0.94766,4.47606e-05,4.47606e-05,4.47606e-05
24,10015.8,1.39214,0.79132,0.96476,0.64804,0.3839,0.41596,0.22473,1.35743,0.77477,0.94759,2.55513e-05,2.55513e-05,2.55513e-05
25,10453.9,1.39074,0.79067,0.96586,0.64713,0.38398,0.4162,0.22493,1.35707,0.77443,0.94751,1.39032e-05,1.39032e-05,1.39032e-05
