epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,731.926,1.50104,2.88172,1.41558,1.35475,0,0.69946,0.55818,0.60386,0.38783,0.34798,0.29502,0.27581,0.10914,1.47604,3.04778,1.35534,1.37926,0,0.0003332,0.0003332,0.0670132
2,1456.19,1.3564,2.58867,1.18363,1.26955,0,0.71285,0.6001,0.64403,0.43727,0.54079,0.49027,0.47512,0.28042,1.34557,2.30855,1.13191,1.27869,0,0.000660916,0.000660916,0.0340076
3,2180.72,1.30206,2.47994,1.11747,1.2415,0,0.72795,0.62421,0.67528,0.47102,0.56435,0.48652,0.49189,0.30221,1.26437,2.19596,1.07213,1.23406,0,0.000966445,0.000966445,0.000979778
4,2899.6,1.25671,2.40266,1.06617,1.21739,0,0.72781,0.63823,0.68226,0.48708,0.56642,0.51891,0.50815,0.31871,1.21711,2.11467,1.02287,1.20636,0,0.000925857,0.000925857,0.000925857
5,3618.02,1.22372,2.34322,1.0229,1.19764,0,0.75338,0.64384,0.70073,0.5061,0.59007,0.5278,0.52424,0.33138,1.18234,2.06101,0.97302,1.18184,0,0.000870809,0.000870809,0.000870809
6,4341.61,1.1951,2.29546,0.99682,1.18301,0,0.74494,0.65597,0.70311,0.51185,0.58198,0.55064,0.53213,0.33699,1.15384,2.00738,0.95348,1.16593,0,0.000803304,0.000803304,0.000803304
7,5049.27,1.17655,2.26426,0.97379,1.17239,0,0.74975,0.66395,0.71191,0.52102,0.58045,0.55911,0.53986,0.34183,1.1392,1.99182,0.9282,1.15654,0,0.00072564,0.00072564,0.00072564
8,5565.23,1.1903,2.10165,0.96357,1.21375,0,0.75513,0.66333,0.717,0.52728,0.59831,0.56454,0.54662,0.34663,1.12779,1.97043,0.90887,1.15148,0,0.000640463,0.000640463,0.000640463
9,6080.73,1.16938,2.07138,0.93803,1.19874,0,0.75747,0.67128,0.72246,0.53122,0.60815,0.57302,0.5552,0.35075,1.12019,1.9527,0.88889,1.14596,0,0.000550673,0.000550673,0.000550673
10,6603.34,1.14986,2.03952,0.91851,1.18964,0,0.759,0.67578,0.72747,0.53885,0.61182,0.57746,0.56255,0.35596,1.10004,1.92518,0.87495,1.13342,0,0.000459327,0.000459327,0.000459327
11,7129.54,1.13372,2.01818,0.90096,1.17789,0,0.75784,0.67959,0.73124,0.5427,0.61216,0.58545,0.56827,0.35891,1.09443,1.90908,0.86667,1.1286,0,0.000369537,0.000369537,0.000369537
12,7652.3,1.11296,1.99107,0.88569,1.16954,0,0.76984,0.67891,0.73414,0.54587,0.62963,0.58508,0.57274,0.36062,1.08354,1.89405,0.85772,1.12195,0,0.00028436,0.00028436,0.00028436
13,8168.86,1.09963,1.96856,0.87029,1.15936,0,0.7683,0.68125,0.73507,0.54815,0.62817,0.58796,0.57379,0.3625,1.07944,1.88485,0.85081,1.1197,0,0.000206696,0.000206696,0.000206696
14,8687.97,1.08682,1.94509,0.85768,1.15255,0,0.7722,0.68314,0.73697,0.55061,0.63499,0.58914,0.57615,0.36352,1.07277,1.87676,0.84687,1.11498,0,0.000139191,0.000139191,0.000139191
15,9206.66,1.07707,1.93044,0.84744,1.14766,0,0.77353,0.68332,0.73836,0.55173,0.63775,0.58915,0.57851,0.36481,1.07009,1.87169,0.84318,1.11335,0,8.41425e-05,8.41425e-05,8.41425e-05
16,9725.6,1.0698,1.92763,0.83796,1.14237,0,0.77402,0.68376,0.7388,0.55261,0.63845,0.59082,0.57979,0.36572,1.06808,1.86809,0.84063,1.11241,0,4.34262e-05,4.34262e-05,4.34262e-05
17,10237.6,1.06506,1.91364,0.83764,1.1408,0,0.77303,0.68447,0.73908,0.5529,0.63833,0.59177,0.58065,0.36625,1.06797,1.86819,0.83998,1.11159,0,1.84283e-05,1.84283e-05,1.84283e-05
